timestamp,engage_in_PA,GPA,current_education_level,PA_time
10/31/2023 11:19:02,Yes,3.25,College,120
10/31/2023 11:19:02,Yes,3,High School,140
10/31/2023 11:21:24,Yes,3.4,High School,90
10/31/2023 11:25:01,Yes,2,College,0
10/31/2023 11:25:43,No,2,Middle School,0
10/31/2023 11:28:35,Yes,2.5,College,145
10/31/2023 11:28:38,Yes,2.56,High School,90
10/31/2023 11:28:57,No,2.5,High School,0
10/31/2023 11:30:16,Yes,3.5,College,130
10/31/2023 11:30:24,No,4,High School,5
10/31/2023 11:30:34,No,4,High School,10
10/31/2023 11:31:16,No,3.78,College,0
10/31/2023 11:31:37,No,3.9,College,0
10/31/2023 11:31:51,Yes,4,College,60
10/31/2023 11:31:55,Yes,2.8,College,120
10/31/2023 11:32:40,No,3.72,College,0
10/31/2023 11:32:57,Yes,2.14,High School,30
10/31/2023 11:33:01,Yes,2.9,College,0
10/31/2023 11:33:03,No,3.2,College,25
10/31/2023 11:33:20,Yes,2.4,High School,10
10/31/2023 11:33:24,Yes,3.9,College,3
10/31/2023 11:33:34,Yes,3.8,High School,300
10/31/2023 11:33:50,Yes,1.42,High School,180
10/31/2023 11:34:12,Yes,2.5,High School,140
10/31/2023 11:34:13,Yes,4,Middle School,60
10/31/2023 11:34:36,No,3.9,Middle School,0
10/31/2023 11:34:45,Yes,3.8,High School,180
10/31/2023 11:35:37,No,3.4,High School,120
10/31/2023 11:36:35,Yes,2.4,High School,69
10/31/2023 11:37:41,Yes,3.2,High School,0
10/31/2023 11:40:58,Yes,3.6,High School,50
10/31/2023 11:45:42,Yes,3.5,College,120
10/31/2023 12:13:50,No,3.9,High School,0
10/31/2023 13:05:56,Yes,3.8,High School,80
10/31/2023 13:11:34,No,3.4,College,0
10/31/2023 13:21:19,Yes,3.8,High School,0
10/31/2023 13:21:56,Yes,2.9,High School,90
10/31/2023 13:21:57,No,3.5,High School,0
10/31/2023 16:58:14,Yes,3.75,High School,50
10/31/2023 21:52:42,No,2.7,High School,0
10/31/2023 21:53:08,Yes,3,College,130
10/31/2023 21:53:25,No,2.5,Middle School,0
